"name","weekday","income"
AnnDull,thursday ,36627442
AnneRinger,thursday ,55678731
BurtGringlesby,thursday ,103250742
CharleneLocksley,thursday ,102081558
CherylCarson,thursday ,70730736
DeanStraight,thursday ,182913508
DirkStringer,thursday ,693463721
HeatherMcBadden,thursday ,289587876
Innesdel Castillo,thursday ,247744631
JohnsonWhite,thursday ,91715665
LiviaKarsen,thursday ,168820566
MarjorieGreen,thursday ,90204716
MeanderSmith,thursday ,56688841
MichaelO'Leary,thursday ,130193803
MichelDeFrance,thursday ,481154817
MorningstarGreene,thursday ,61407062
ReginaldBlotchet-Halls,thursday ,89971578
SherylHunter,thursday ,148434253
StearnsMacFeather,thursday ,22585497
SylviaPanteley,thursday ,91590683
AbrahamBennet,friday   ,233935361
AlbertRinger,friday   ,357492149
AnnDull,friday   ,37433122
AnneRinger,friday   ,51753352
BurtGringlesby,friday   ,109360163
CharleneLocksley,friday   ,97761375
CherylCarson,friday   ,80473505
DeanStraight,friday   ,176048825
DirkStringer,friday   ,672023524
HeatherMcBadden,friday   ,245868794
Innesdel Castillo,friday   ,231816498
JohnsonWhite,friday   ,91757930
LiviaKarsen,friday   ,172939429
MarjorieGreen,friday   ,99954937
MeanderSmith,friday   ,53551958
MichaelO'Leary,friday   ,142326764
MichelDeFrance,friday   ,473980679
MorningstarGreene,friday   ,62929145
ReginaldBlotchet-Halls,friday   ,96796982
SherylHunter,friday   ,158669557
StearnsMacFeather,friday   ,28022436
SylviaPanteley,friday   ,91390801
AbrahamBennet,saturday ,219357051
AlbertRinger,saturday ,359055422
AnnDull,saturday ,37658782
AnneRinger,saturday ,48579238
BurtGringlesby,saturday ,108212069
CharleneLocksley,saturday ,100507642
CherylCarson,saturday ,69224918
DeanStraight,saturday ,176094744
DirkStringer,saturday ,724561952
HeatherMcBadden,saturday ,260891531
Innesdel Castillo,saturday ,245765313
JohnsonWhite,saturday ,91955960
LiviaKarsen,saturday ,142421335
MarjorieGreen,saturday ,95303143
MeanderSmith,saturday ,53094398
MichaelO'Leary,saturday ,131118669
MichelDeFrance,saturday ,480574641
MorningstarGreene,saturday ,64598715
ReginaldBlotchet-Halls,saturday ,92451664
SherylHunter,saturday ,143802265
StearnsMacFeather,saturday ,27623848
SylviaPanteley,saturday ,87097890
AbrahamBennet,sunday   ,232328748
AlbertRinger,sunday   ,362985487
AnnDull,sunday   ,34138288
AnneRinger,sunday   ,49050829
BurtGringlesby,sunday   ,112782281
CharleneLocksley,sunday   ,93745117
CherylCarson,sunday   ,69553596
DeanStraight,sunday   ,176873006
DirkStringer,sunday   ,698820601
HeatherMcBadden,sunday   ,266458385
Innesdel Castillo,sunday   ,244679492
JohnsonWhite,sunday   ,88933984
LiviaKarsen,sunday   ,137975385
MarjorieGreen,sunday   ,104815534
MeanderSmith,sunday   ,56678280
MichaelO'Leary,sunday   ,125981635
MichelDeFrance,sunday   ,438321489
MorningstarGreene,sunday   ,68473054
ReginaldBlotchet-Halls,sunday   ,80496473
SherylHunter,sunday   ,148514539
StearnsMacFeather,sunday   ,27431435
SylviaPanteley,sunday   ,95337213
